, Open, High, Low, Close, Volume
01/10/22, 333.3333, 353.0333, 326.6667, 352.7067, 91814880.3373685
01/07/22, 360.1233, 360.31, 336.6667, 342.32, 84164757.559222
01/06/22, 359.00, 362.6667, 340.1667, 354.90, 90336477.3802422
01/05/22, 382.2167, 390.1133, 360.3367, 362.7067, 80119797.6765259
01/04/22, 396.5167, 402.6667, 374.35, 383.1967, 100248267.0928
01/03/22, 382.5833, 400.3567, 378.68, 399.9267, 104686052.964104
12/31/21, 357.8147, 360.6667, 351.53, 352.26, 40733638.8187245
12/30/21, 353.7767, 365.1833, 351.05, 356.78, 47040928.6358131
12/29/21, 366.2133, 368.00, 354.7133, 362.0633, 56154058.3715323
12/28/21, 369.83, 373.00, 359.4733, 362.8233, 60323911.2506066
12/27/21, 357.89, 372.3333, 356.905, 364.6467, 71145807.9367716
12/23/21, 335.60, 357.659, 332.52, 355.6667, 92713287.3113147
12/22/21, 321.8867, 338.5533, 319.0167, 336.29, 93634074.2846118
12/21/21, 305.6234, 313.1667, 295.3734, 312.8433, 71517930.92598
12/20/21, 303.5667, 307.2295, 297.7967, 299.98, 56480008.3620798
12/17/21, 304.9233, 320.22, 303.0134, 310.8567, 100880259.074472
12/16/21, 331.50, 331.66, 307.2833, 308.9733, 82771437.5996283
12/15/21, 317.7367, 326.25, 309.4167, 325.33, 75169221.8200926
12/14/21, 315.00, 322.1367, 310.00, 319.5034, 70806261.9466184
12/13/21, 333.6967, 335.00, 317.14, 322.1367, 78595497.7207306
12/10/21, 336.25, 340.3267, 327.51, 339.01, 59664355.2697337
12/09/21, 353.5467, 354.1633, 334.12, 334.60, 59438488.2762838
12/08/21, 350.9033, 357.46, 344.3333, 356.32, 41906368.7847153
12/07/21, 348.0667, 352.558, 342.27, 350.5833, 56084575.3735473
12/06/21, 333.8367, 340.5467, 316.8333, 336.3367, 81663114.6317697
12/03/21, 361.5967, 363.525, 333.4033, 338.3233, 92321997.3226621
12/02/21, 366.3533, 371.00, 352.2167, 361.5333, 73114854.8796692
12/01/21, 386.8983, 390.9467, 363.5867, 365.00, 68804095.0046812
11/30/21, 381.4567, 389.3333, 372.6667, 381.5867, 81276114.6429927
11/29/21, 366.9967, 380.89, 366.73, 378.9967, 58393411.3065911
11/26/21, 366.49, 369.5943, 360.3333, 360.64, 35042668.9837626
11/24/21, 360.13, 377.59, 354.00, 372.00, 67680718.0372592
11/23/21, 389.17, 393.50, 354.2333, 369.6767, 108515093.853062
11/22/21, 387.4433, 400.65, 377.4767, 385.6233, 99217533.1226916
11/19/21, 366.29, 379.5733, 364.2333, 379.02, 64926778.1171234
11/18/21, 368.85, 370.6667, 358.34, 365.46, 62696788.1817932
11/17/21, 354.5033, 373.2133, 351.8333, 363.0033, 94336098.2642532
11/16/21, 334.4367, 352.40, 334.06, 351.5767, 79627074.6908148
11/15/21, 339.21, 343.9933, 326.20, 337.7967, 104326940.974519
11/12/21, 349.1667, 351.50, 339.7333, 344.4733, 76719447.775136
11/11/21, 367.59, 368.3233, 351.56, 354.5033, 67189702.0514986
11/10/21, 336.8033, 359.3667, 329.1033, 355.9833, 128408153.276164
11/09/21, 391.20, 391.50, 337.1733, 341.1667, 177317514.857792
11/08/21, 383.2617, 399.00, 377.6667, 387.6467, 100337154.090223
11/05/21, 409.3333, 413.29, 402.6667, 407.3633, 64886431.1182935
11/04/21, 411.47, 414.4967, 405.6667, 409.97, 76192221.7904256
11/03/21, 392.4433, 405.13, 384.2067, 404.62, 103885556.987319
11/02/21, 386.4517, 402.8633, 382.00, 390.6667, 128213399.281811
